title,author,genre,language,isbn,summary,image
Franco-British Academic Partnerships,Maurice Fraser,education,en,9781846316630,"While the steady increase in joint programs offered by British and French universities is cause for considerable celebration, a variety of obstacles, including language constraints, financial pressures, and political uncertainty, have hindered their continued expansion. Bringing together contributors from within academia, the government, and prominent institutions, Franco-British Academic Partnerships: The Next Chapter takes stock of intensifying bilateral cooperation in higher education and explores how institutions on either side of the Channel can help realize the enormous potential of Franco-British partnerships. With its wealth of suggestions for new initiatives and areas for collaboration, this book will be required reading for academics and university leaders.",http://books.google.com/books/content?id=tOoWDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Velocity Revisited,"Irwin Wunderman, PhD",education,en,9781463437916,"This book presents a novel and unorthodox approach to the wave theory, attempting to explain complex physical phenomena and derive fundamental laws of physics using natural numbers. The book is an elaboration and expansion of work presented in “What is a Photon? (Wunderman, 2000) and “Planck’s Constant and Pi” (Wunderman, 2004) which introduced a new interpretation for the space between integers of the natural number counting system. Mechanisms of wave propagation provide the essence of this theory. In addition, foundations emerge from the natural numbers themselves. The thesis makes a distinction between indeterminism and lack of causality in de facto physical processes. This work utilizes an uncommon method to describe how a wave-front surface area grows. The theory can infer a slightly altered interpretation of how space progresses as a square law when advancing away from an origin. Section I and Section II present an overview of the analysis method. The analysis in this treatise derives circumstances for viably transmitted cyclic modes and the consequence of their existence. Section I addresses the motion of objects like spontaneous emission photons that propagate at the highest rate, light-speed C. Section II covers the relative motion of slower rest mass objects. This treatise does not analyze relative motion in the presence of fields like gravity that could act on the moving object. This thesis purports that our interpretation of relative motion, what we call inertial velocity, is best expressed quite differently than has traditionally been done. This thesis hopes to show that the speed of light should numerically be absolute unity, based exclusively on the mechanism by which area accrues on the information-transferring-wave-front generated by events on a moving object. This thesis hopes to demonstrate that a more general type wave description better satisfies portrayal of a photon’s “frequency”. The harmonic exponential function “e"" is therefore purported to be an inappropriate mathematical function for physically representing propagating waves, photon frequencies, electromagnetic-radiation, and affiliated cyclic phenomena. An appropriate function must involve a reaction that temporally follows an initiating cause and presents a response that includes effects of Planck's constant and indeterminism associated therewith. This theory presents such a function and the waves generated are called unified waves.",http://books.google.com/books/content?id=uUU_IoGPgAYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Intermediate Statistics,Keenan A. Pituch,education,en,9781136677199,"James Stevens’ best-selling text, Intermediate Statistics, is written for those who use, rather than develop, statistical techniques. Dr. Stevens focuses on a conceptual understanding of the material rather than on proving the results. SAS and SPSS are an integral part of each chapter. Definitional formulas are used on small data sets to provide conceptual insight into what is being measured. The assumptions underlying each analysis are emphasized and the reader is shown how to test the critical assumptions using SPSS or SAS. Printouts with annotations from SAS or SPSS show how to process the data for each analysis. The annotations highlight what the numbers mean and how to interpret the results. Numerical, conceptual, and computer exercises enhance understanding. Answers are provided for half of the exercises. The book offers comprehensive coverage of one-way, power, and factorial analysis of variance, repeated measures analysis, simple and multiple regression, analysis of covariance, and HLM. Power analysis is an integral part of the book. A computer example of real data integrates many of the concepts. Highlights of the Third Edition include: A new chapter on hierarchical linear modeling using HLM6 A CD containing all of the book’s data sets New coverage of how to cross validate multiple regression results with SPSS and a new section on model selection (Chapter 6) More exercises in each chapter. Intended for intermediate statistics or statistics II courses taught in departments of psychology, education, business, and other social and behavioral sciences, a prerequisite of introductory statistics is required. An Instructor's Resource is available upon adoption. See www.researchmethodsarena.com .",http://books.google.com/books/content?id=cvCnbEqC2WwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Issues in Music Teaching,Chris Philpott,education,en,9781134560110,"Issues in Music Teaching stimulates critical reflection on a range of topics related to the teaching and learning of music in both the primary and secondary school, including: the place of music in the curriculum the nature of music and music education ICT and music education music education and individual needs continuity and progression in music education The book prompts the reader to be analytical and critical of theory and practice, and to become an autonomous professional and curriculum developer.",http://books.google.com/books/content?id=ZEcrBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1764-1804,none,education,de,9783110215625,"The first volume of letters written to Pestalozzi contains 713 letters written between 1764 and 1804 by illustrious correspondents such as Karl Viktor von Bonstetten, Philipp Emanuel von Fellenberg, Hans Caspar Hirzel, Isaak Iselin, Johann Caspar Lavater, Anna Schulthess and 170 further writers, some of them unknown. The letters demonstrate Pestalozzi’s literary success, economic failure and rise to Helvetian National educator. They provide everyday, cultural and political-historical insights into the varied lives and thoughts of families, parties, businesses, visionaries and reactionaries during the period of continuing upheaval at the end of the old Swiss Ancien Régime and the Helvetic Republic. Includes extensive indexes of persons and corporations.",http://books.google.com/books/content?id=nI4kRM0teDgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
No Place But Here,Garret Keizer,education,en,9781611688764,"Weaving anecdotal narrative with trenchant reflections on his profession, Garret Keizer offers one teacher's answer to the hue and cry over the crisis in education. An English teacher in rural Vermont, he writes of the opposing realities he faces every day: the promise and energy of the young and the oppressive effect of their economic disadvantages; the beauty of the countryside and its people and the harsh, sometimes ugly edge of life there; the need for discipline and the importance of rebellion. In exploring the demands peculiar to his own community, Keizer movingly depicts the difficulties-some triumphantly overcome, some overwhelming-that form the heart of teaching anywhere.",http://books.google.com/books/content?id=U265CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
La culture juridique des travailleurs sociaux,Agathe Haudiquet,education,fr,9782296411845,"Quel est le rôle des travailleurs sociaux vis-à-vis des personnes en difficulté, en demande de droit(s) ? Ils informent, conseillent, orientent, accompagnent effectivement les usagers dans leurs démarches juridiques. La formation juridique de ces travailleurs sociaux, telle qu'elle est dispensée aujourd'hui, répond-elle à ces besoins ? Leur permet-elle à la fois de traiter les demandes juridiques des usagers, d'occuper en tant que spécialistes face aux juristes le champ de l'aide à l'accès au droit et enfin de promouvoir l'émancipation sociale par le droit ?",http://books.google.com/books/content?id=A5ySO32F0tkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Math Review,Mary Rosenberg,education,en,9780743937450,"Both teachers and parents appreciate how effectively this series helps students master skills in mathematics and language arts. Each book provides activities that are great for independent work in class, homework assignments, or extra practice to get ahead. Test practice pages are included in most titles.",http://books.google.com/books/content?id=4xwf00Omqt8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Conversations with Educational Leaders,Anne Turnbaugh Lockwood,education,en,9781438411101,"Educational leaders speak out in their own words--stimulating, accessible, provocative--on contemporary and controversial topics that range from differing attitudes on diversity to the debate over character education to arguments about education reform.",http://books.google.com/books/content?id=7Mvg0PS5aqsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Visual Art and Education in an Era of Designer Capitalism,jan jagodzinski,education,en,9780230113602,This book offers a unique perspective of art and its education in designer capitalism. It will contribute to the debate as to possibilities art and design hold for the future. It also questions the broad technologization of art that is taking place.,http://books.google.com/books/content?id=bQ1dAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
835 Victorian Designs and Emblems,"Palm & Fechteler (New York, N.Y.)",design,en,9780486417349,"This selection of royalty-free designs from a rare 1882 catalog of transferable designs for carriages and buggies includes ornamental crests, coats of arms, shields, mottos, and a wealth of other eye-catching designs — many incorporating dogs, handsome steeds, various birds, wild beasts, mythical creatures, and other eye-catching images.",http://books.google.com/books/content?id=vQj5AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
La decoración ideada por François,Concha Herrero Carretero,design,es,9788490962428,"La importancia del adorno de interiores en el siglo XVIII apenas ha dejado vestigios materiales más allá de las residencias palaciegas, siendo igualmente escaso el estudio de sus fuentes. Entre estas últimas se encuentra el plan decorativo para los apartamentos de la duquesa de Alba en el Palacio de Buenavista (1792), raro testimonio escrito en forma de viaje pintoresco por el comerciante de sedas y adornista François Grognard, quien hizo un diseño ex profeso a la moda. La traducción al español de este apasionante relato se acompaña de la transcripción anotada de la correspondencia manuscrita conservada en la Bibliothèque municipale de Lyon, y tres estudios particulares sobre Grognard, el palacio de Buenavista y la actividad de los adornistas. El libro es una contribución novedosa al conocimiento de la intensa actividad artística y comercial de Madrid y de las relaciones internacionales a través de un intermediario culto y moderno.",http://books.google.com/books/content?id=AnHVDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Cross-Cultural Design for IT Products and Services,Pei-Luen Patrick Rau,design,en,9781439838730,"With the increase of globalization of business and industry, IT products and services are often produced and marketed across geographical cultural boundaries without adequate consideration of culture. There is a high probability that IT products and services developed in one country may not be effectively used in another country, which may hinder their market penetration, sales, and use. Based on research and practice, Cross-Cultural Design for IT Products and Services provides a resource for human factors engineers, designers, and marketing professionals who define and develop IT products and services for the global market. With its extensive review of cross-cultural theory and cross-cultural design literature, it is also a resource for those who are interested in research on cross-cultural design. The book presents an overview of the dimensions of culture that have implications for human information processing and affective response. It examines a set of user interface design guidelines grouped into five areas: language, use of color, icons and images, navigation, and information architecture. Also, it addresses physical ergonomics and anthropometry issues. The text translates theory and guidelines into a practical methodology and discusses how to integrate methods of cross-cultural design into a standard engineering process for product development. The authors review and reappraise theories, models, principles, and techniques for design of IT products and services that will be marketed globally. They provide guidelines for user interface design across North American, Asian, and other cultures. Applying the guidelines within the methodological framework provided will enhance the usability and effectiveness of the IT product or service, and contribute to greater user satisfaction, increased productivity, higher sales, and lower product support costs.",http://books.google.com/books/content?id=enqt_oAHCXIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Visual Language for Designers,Connie Malamed,design,en,9781592537419,"Within every picture is a hidden language that conveys a message, whether it is intended or not. This language is based on the ways people perceive and process visual information. By understanding visual language as the interface between a graphic and a viewer, designers and illustrators can learn to inform with accuracy and power. In a time of unprecedented competition for audience attention and with an increasing demand for complex graphics, Visual Language for Designers explains how to achieve quick and effective communications. New in paperback, this book presents ways to design for the strengths of our innate mental capacities and to compensate for our cognitive limitations. Visual Language for Designers includes: —How to organize graphics for quick perception —How to direct the eyes to essential information —How to use visual shorthand for efficient communication —How to make abstract ideas concrete —How to best express visual complexity —How to charge a graphic with energy and emotion",http://books.google.com/books/content?id=yUalr7fhZMEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Visual Dictionary of Graphic Design,Gavin Ambrose,design,en,9782940373437,The Visual Dictionary of Graphic Design by Gavin Ambrose and Paul Harris is a straight talking guide to the numerous terms used within the realms of art and design. Over 250 terms are explained and contextualised. It is suitable for those studying and those simply interested in art and design.,http://books.google.com/books/content?id=PQLmgVBtEZgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Reframing Information Architecture,Andrea Resmini,design,en,9783319064925,"Information architecture has changed dramatically since the mid-1990s and earlier conceptions of the world and the internet being different and separate have given way to a much more complex scenario in the present day. In the post-digital world that we now inhabit the digital and the physical blend easily and our activities and usage of information takes place through multiple contexts and via multiple devices and unstable, emergent choreographies. Information architecture now is steadily growing into a channel- or medium-specific multi-disciplinary framework, with contributions coming from architecture, urban planning, design and systems thinking, cognitive science, new media, anthropology. All these have been heavily reshaping the practice: conversations about labelling, websites, and hierarchies are replaced by conversations about sense-making, place-making, design, architecture, cross media, complexity, embodied cognition and their application to the architecture of information spaces as places we live in in an increasingly large part of our lives. Via narratives, frameworks, references, approaches and case-studies this book explores these changes and offers a way to reconceptualize the shifting role and nature of information architecture where information permeates digital and physical space, users are producers and products are increasingly becoming complex cross-channel or multi-channel services.",http://books.google.com/books/content?id=zs0lBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Exploring Materials,Inna Alesina,design,en,9781568987682,"This book is an action-oriented, accessible guide to design thinking that addresses both the how and why of product design. It encourages designers to look beyond the abstraction of pure forms or the whimsy of virtual objects, and instead to make and test real objects in a studio environment.--[book cover]",http://books.google.com/books/content?id=ccQrBVUWT8EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Design, When Everybody Designs",Ezio Manzini,design,en,9780262028608,"The role of design, both expert and nonexpert, in the ongoing wave of social innovation toward sustainability. In a changing world everyone designs: each individual person and each collective subject, from enterprises to institutions, from communities to cities and regions, must define and enhance a life project. Sometimes these projects generate unprecedented solutions; sometimes they converge on common goals and realize larger transformations. As Ezio Manzini describes in this book, we are witnessing a wave of social innovations as these changes unfold—an expansive open co-design process in which new solutions are suggested and new meanings are created. Manzini distinguishes between diffuse design (performed by everybody) and expert design (performed by those who have been trained as designers) and describes how they interact. He maps what design experts can do to trigger and support meaningful social changes, focusing on emerging forms of collaboration. These range from community-supported agriculture in China to digital platforms for medical care in Canada; from interactive storytelling in India to collaborative housing in Milan. These cases illustrate how expert designers can support these collaborations—making their existence more probable, their practice easier, their diffusion and their convergence in larger projects more effective. Manzini draws the first comprehensive picture of design for social innovation: the most dynamic field of action for both expert and nonexpert designers in the coming decades.",http://books.google.com/books/content?id=BzfpBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Design Fundamentals for New Media,James Gordon Bennett,design,en,9781133131137,"Fundamental design principles will always remain the same, but the digital technology that can support them is evolving and affecting their application in a profound way. In this unique and timely book, artist and educator James Bennett explores essential elements of design within the context of the new media reality in which today's designers learn and work. With a brand new design and dozens of striking new images, this new edition covers extensive updates to digital technology including interactive media, web color and typography, and designing for mobile devices. Combining timeless principles with cutting-edge technology in a smart, visually rich, full-color package, DESIGN FUNDAMENTALS FOR NEW MEDIA, Second Edition, provides a thorough and engaging introduction to modern applications of essential design techniques. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",http://books.google.com/books/content?id=pK5bO9yH0McC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nano Materials,Sylvia Leydecker,design,en,9783764379957,"In this book, architects, interior designers and designers will find an introduction to the functions and use of nano materials, specifically tailored to their needs and illustrated by numerous international project examples.",http://books.google.com/books/content?id=XiDO2CRDqoUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Fitzgerald's Greatest Stories,F. Scott Fitzgerald,fiction,en,9788026802617,"This carefully crafted ebook: ""Fitzgerald's Greatest Stories"" contains 13 most notable short stories in one volume and is formatted for your eReader with a functional and detailed table of contents. Content: ""Bernice Bobs Her Hair"" (1920) (in Flappers and Philosophers) ""Head and Shoulders"" (1920) (in Flappers and Philosophers) ""The Ice Palace"" (1920) (in Flappers and Philosophers and Babylon Revisited and Other Stories) ""The Offshore Pirate"" (1920) (in Flappers and Philosophers) ""The Curious Case of Benjamin Button"" (1921) (in Tales of the Jazz Age) ""The Diamond as Big as the Ritz"" (1922) (in Tales of the Jazz Age) ""Winter Dreams"" (1922) (in All the Sad Young Men) ""The Baby Party"" (1925) (in All the Sad Young Men) ""The Freshest Boy"" (1928) (in Taps at Reveille) ""The Bridal Party"" (1930) ""A New Leaf"" (1931) ""Babylon Revisited"" (1931) (in Babylon Revisited and Other Stories) ""Crazy Sunday"" (1932) (in Babylon Revisited and Other Stories) Francis Scott Key Fitzgerald (1896 – 1940) was an American author of novels and short stories, whose works are the paradigmatic writings of the Jazz Age, a term he coined. He is widely regarded as one of the greatest American writers of the 20th century.",http://books.google.com/books/content?id=n1NjDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Miss Dreamsville and the Collier County Women's Literary Society,Amy Hill Hearth,fiction,en,9781451675238,TOGETHER THEY FOUND THE ONE THING THAT ELUDED THEM AS INDIVIDUALS: A PLACE IN THE WORLD.,http://books.google.com/books/content?id=4mmarVlnc8oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
How to Succeed in Murder,Margaret Dumas,fiction,en,9781458717993,"Charley Fairfax - heiress, theatrical producer, newlywed - has every intention of living happily ever after with her tall, dark, and sarcastic husband Jack. The only mysteries she faces are which play to choose for next season and how to decorate her dining room. But when Jack is hired to investigate a suspicious death at a San Francisco software company, it quickly becomes clear that high-tech has some low-life elements. The only way Charley knows how to help Jack involves doing something no-body thought she would ever do. Charley needs to get a job. It might be a problem that Charley and her band of irregulars from the repertory theater learned everything they know about the workplace from a production of How To Succeed In Business Without Really Trying, but that doesn't stop them from going undercover to find a killer. And even though she's only had one day's training in corporate double-speak, Charley isn't worried. Faking it has always been her strong suit. Charley and Jack are starting to get the hang of this marriage thing. If only people would stop talking about babies, introducing them to decorators, and trying to kill them, they might even get to take a honeymoon.",http://books.google.com/books/content?id=nhR58UIH1N4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Rediscovering Mrs. Murphy,Craig S. Austin,fiction,en,9781418453930,"Johnny Bates is incarcerated in the minimum-security correctional facility fighting boredom. One day he learns about an injustice that is being visited upon certain convicts in the maximum-security prison by one of the prison guards. Johnny decides he must be the one to right the wrong. To do that, he must return to maximum-security, to the Walls. Once again in maximum-security, Johnny happily reunites with his old friends from his earlier stay, both convict and guard. He works his way into the place and position he wants and needs in order to complete his mission, while here he learns again the habits of the officers and other convicts and plans the method by which he will put an end to the injustice. Inside the Walls, a lot has changed and Johnny finds himself violently thrust into the most recent problem confronting inmates as well as the prison administration, the problem of juveniles who've been sentenced as adults. The new trouble does serve to keep the attention of the security staff focused away from Johnny, so although it's a distraction, it's not as bad as it seems at first. As he told the warden, ""I'm glad I ain't your biggest problem no more."" Johnny manages to right the wrong, to wreak the kind of justice (punishment) that will be understood and accepted in prison culture, a culture which seems to be slightly out of step with that of free society, but upon closer inspection is frighteningly similar. The book illustrates that prison is not entirely a war between good (security staff) and bad (convicts), but a way of life with love and hate, fear and humor, and pleasure as well as hard knocks. In prison as well as on the outside, life is what you make of it with the cards you are dealt.",http://books.google.com/books/content?id=I6to6a9Eg_YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
少年維特的煩惱(雙語版),約翰· 沃爾夫岡· 馮· 歌德,fiction,zh-TW,9789864926305,《少年維特的煩惱》是歐洲啟蒙運動時期最偉大的作品之一。少年維特受過良好的教育，他熱愛自然、多愁善感、坦誠可愛、嚮往平等。為了追求自由的生活，他來到一個風景宜人的偏僻山村。在一次鄉村舞會上，維特對天使一般的少女夏洛蒂一見鍾情，夏洛蒂也喜歡他，然而她卻已經訂婚。維特陷入了尷尬和痛苦，為了忘掉這段不可能有結果的感情，他毅然離開此地，去了一個很遠的地方任低級官員。然而，鄙陋的環境、污濁的人際關係、壓抑個性、窒息自由的現存秩序，都使他無法忍受。維特憤然辭職並回到夏洛蒂生活的地方，而此時的夏洛蒂已結婚。愛情的挫折、理想與現實的衝突把他逼入了絕望，困境中的維特最後用自殺的方式結束了自己年輕的生命。該書一出版即風靡整個歐洲大陸，掀起了一股“維特熱”，並很快成為第一部產生重大國際影響的德國文學作品。兩個世紀以來，該書被譯成世界上幾十種語言。書中所展現的苦澀愛情故事震撼了一代又一代青少年的心靈。無論作為語言學習的課本，還是作為通俗的文學讀本，本書對當代中國的青少年都將產生積極的影響。,http://books.google.com/books/content?id=hMtCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Golden Boy,Abigail Tarttelin,fiction,en,9781476705804,"Presenting themselves to the world as an effortlessly excellent family, successful criminal lawyer Karen, her Parliament candidate husband and her intelligent athlete son, Max, find their world crumbling in the wake of a friend's betrayal and the secret about Max's intersexual identity.",http://books.google.com/books/content?id=GDSHpbXoWssC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Fever Dream,Dennis Palumbo,fiction,en,9781615953271,"On a blistering summer day, a bank robbery goes wrong, resulting in the deaths of all the hostages except Treva Williams. Pittsburgh psychologist and trauma expert Daniel Rinaldi is called in by the police to treat Treva. Soon an unforeseen series of events plunges the investigating officers, Sergeant Harry Polk, Detective Eleanor Lowrey, and Rinaldi into a vortex of mistaken identity, kidnapping, and surprising revelations about District Attorney Leland Sinclair's gubernatorial campaign. Is Sinclair somehow involved in the bank case? Rinaldi's attention is diverted by the suicide of a young patient and his growing attraction to Eleanor, as the recently-divorced Harry Polk spirals into an alcohol-driven, self-destructive free-fall. Then sudden death threats against Sinclair fuel a new frenzy of accusations and political maneuvering, and Rinaldi begins to make connections. Soon, what he knows - or thinks he knows - will pull him toward a shocking and possibly lethal confrontation.",http://books.google.com/books/content?id=vs56YAA0gR8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
